Severity,Temperature.F.,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Time_Of_Day,Month
3,82,85.8157907570243,67,29.94,10,22,4.6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9
2,66.9,67.1200618417972,49,30.03,10,10,9.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
2,72,73.7026527981171,66,29.9,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9
3,78.1,81.2635959939291,84,30.04,10,17,4.6,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7
3,73.9,75.6212409743871,66,29.92,10,24,10.4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
2,19,3.07487200916039,52,30.21,10,23,19.6,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2
2,52,48.7746384533545,89,29.77,10,14,9.2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
2,84,88.1696029792263,65,30.22,10,6,8.1,0,32,0,0,1,0,0,0,0,0,0,0,0,1,0,3,8
3,69.1,70.207720465414,65,30.01,10,1,7,0.02,28,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10
2,84.4783783783784,88.7820993224177,67,29.86,40,22,11.5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2,66,64.8693072144125,73,29.81,10,12,17.3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2,84.9,89.2007560936849,27,30.07,10,20,4.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2,57.9,57.1550925444387,78,30.05,10,22,5.8,0,31,0,0,1,0,0,0,0,0,0,0,0,1,0,2,10
2,80.6,84.2523169505567,84,29.98,10,20,3.5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
3,68,67.46143625644,68,29.99,10,23,17.3,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8
2,70,71.8090376398081,81,30.16,10,8,4.6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11
2,82,85.6920954788525,47,29.76,10,15,10.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2,62.1,61.2101267904868,80,29.92,10,22,9.2,0,31,0,0,1,0,0,0,0,0,1,0,0,1,0,1,5
2,57,56.0860279045327,96,30.23,1.2,8,5.8,0,31,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
2,59,59.5444968666303,100,30.26,7,9,3.5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
2,62.1,61.7716769037169,86,29.97,5,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
3,82,85.7541436005415,79,30,10,5,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
3,76.1,78.280646955954,51,29.95,10,22,11.5,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7
2,60.8,60.5998563841361,63,29.96,7,20,5.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
3,82.9,86.7901864646245,63,30,10,5,13.8,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
3,61,58.9311074265273,72,29.86,10,6,13.8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
3,64.9,66.2933921673325,70,30.07,10,10,3.5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
3,87.8,92.9033246301981,55,30.04,13,18,10.4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
